day,time,word,count
Monday,1,madison,1
Monday,1,just,11
Monday,1,#sos,1
Monday,1,rocked,1
Monday,1,go,1
Monday,1,#mensstyle,1
Monday,1,crashing,1
Monday,1,style,1
Monday,1,52am,1
Monday,1,going,1
Monday,1,face_vv,1
Monday,1,good,1
Monday,1,get,2
Monday,1,know,2
Monday,1,new,2
Monday,1,now,1
Monday,1,@heyitsnicck,1
Monday,1,resource,3
Monday,1,#sakuramaturi,1
Monday,1,opera,1
Monday,1,legalize,1
Monday,1,people,2
Monday,1,danyaki,1
Monday,1,said,1
Monday,1,got,1
Monday,1,bought,1
Monday,1,never,1
Monday,1,lmfao,1
Monday,1,men,1
Monday,1,#mensfashion,1
Monday,1,york,1
Monday,1,#riokoike,1
Monday,1,falls,1
Monday,1,princess,1
Monday,1,love,1
Monday,1,watchcottage,1
Monday,1,jeans,1
Monday,1,working,1
Monday,1,philadelphia,1
Monday,1,lol,2
Monday,1,remotely,3
Monday,1,#manpukun,1
Monday,1,#selvage,1
Monday,1,happy,3
Monday,1,life,2
Monday,1,#phillysakura,1
Monday,1,2am,1
Monday,1,park,1
Monday,1,phone,1
Monday,1,boyfriend,1
Monday,1,hire,3
Monday,1,assi,2
Monday,1,challenge,1
Monday,1,work,3
Monday,1,project,3
Monday,1,@_kingbailey,1
Monday,1,asleep,1
Monday,1,deer,1
Monday,1,fuck,1
Monday,1,want,1
Monday,1,franfreemangrooming,2
Monday,1,phantom,1
Monday,1,interested,2
Monday,1,@scevityyy,1
Monday,1,deasephoto,1
Monday,1,pain,1
Monday,1,felt,1
Monday,1,weed,1
Monday,1,soundtrack,1
Monday,1,flow,1
Monday,1,bracket,1
Monday,1,keeps,1
Monday,2,just,1
Monday,2,sleep,1
Monday,2,yet,1
Monday,2,@giraffesalive1,1
Monday,2,#franklindrooseveltdrive,1
Monday,2,covered,1
Monday,2,east,2
Monday,2,get,1
Monday,2,lady,1
Monday,2,drop,1
Monday,2,michael,1
Monday,2,bay,2
Monday,2,common,1
Monday,2,@sahouraxo,1
Monday,2,refugees,1
Monday,2,side,2
Monday,2,square,1
Monday,2,tired,1
Monday,2,twitter,1
Monday,2,dead,1
Monday,2,street,5
Monday,2,girl,1
Monday,2,@yournewswire,1
Monday,2,@eviljuiceyone,1
Monday,2,@potus,1
Monday,2,uhhhh,1
Monday,2,muslim,1
Monday,2,men,1
Monday,2,hours,1
Monday,2,incident,1
Monday,2,alone,1
Monday,2,@solos4242,1
Monday,2,island,1
Monday,2,keep,1
Monday,2,headless,1
Monday,2,bronx,1
Monday,2,#goat,1
Monday,2,com,1
Monday,2,south,1
Monday,2,garbage,1
Monday,2,apt,1
Monday,2,right,1
Monday,2,city,1
Monday,2,@chazk1234,1
Monday,2,white,2
Monday,2,36th,2
Monday,2,gotcha,1
Monday,2,park,1
Monday,2,understand,1
Monday,2,@lizcrokin,1
Monday,2,bothdir,1
Monday,2,pelham,2
Monday,2,bridge,2
Monday,2,importing,1
Monday,2,cant,1
Monday,2,seen,1
Monday,2,need,1
Monday,2,station,1
Monday,2,nb,1
Monday,2,ringtone,1
Monday,2,incredibly,1
Monday,2,beach,1
Monday,2,problems,1
Monday,2,10464,1
Monday,2,germany,1
Monday,2,cores,1
Monday,2,cleared,1
Monday,2,guys,1
Monday,2,thoughts,1
Monday,2,windows,1
Monday,2,average,1
Monday,2,@stockmonsterusa,1
Monday,2,awake,1
Monday,2,dot,1
Monday,3,24,1
Monday,3,orleans,1
Monday,3,@marisolbelle1,1
Monday,3,imma,1
Monday,3,team1,1
Monday,3,#unratedebony,1
Monday,3,#supportformicrosoft,1
Monday,3,international,1
Monday,3,resource,1
Monday,3,kennedy,1
Monday,3,team,1
Monday,3,square,3
Monday,3,instagram,1
Monday,3,street,3
Monday,3,mines,1
Monday,3,@unratedebony,1
Monday,3,behind,1
Monday,3,366,2
Monday,3,new,1
Monday,3,#microsoftsupport,1
Monday,3,punch,1
Monday,3,hours,1
Monday,3,journaling,1
Monday,3,#help,1
Monday,3,airport,1
Monday,3,@1,1
Monday,3,idc,1
Monday,3,850,2
Monday,3,service,1
Monday,3,lol,1
Monday,3,remotely,1
Monday,3,cali,1
Monday,3,station,2
Monday,3,6203,2
Monday,3,john,1
Monday,3,tell,1
Monday,3,happy,1
Monday,3,customer,1
Monday,3,hire,1
Monday,3,look,1
Monday,3,work,1
Monday,3,bothdir,2
Monday,3,project,1
Monday,3,jpg,1
Monday,3,trip,1
Monday,3,interested,1
Monday,3,coming,1
Monday,3,queens,1
Monday,3,#facebook,1
Monday,3,contact,1
Monday,4,gates,1
Monday,4,major,1
Monday,4,gt,1
Monday,4,just,3
Monday,4,presidents,1
Monday,4,#instasexy,1
Monday,4,one,1
Monday,4,alien,1
Monday,4,facts,1
Monday,4,cold,1
Monday,4,#vodkasoda,1
Monday,4,avenue,20
Monday,4,intimidation,1
Monday,4,quit,6
Monday,4,thuggery,1
Monday,4,#rfamily,1
Monday,4,#type1diabetes,2
Monday,4,send,1
Monday,4,#shuttlebus,2
Monday,4,@mintmote,1
Monday,4,strategy,1
Monday,4,east,6
Monday,4,easter,1
Monday,4,@destineelynnfgm,3
Monday,4,get,1
Monday,4,towers,1
Monday,4,#thirsty,1
Monday,4,irving,1
Monday,4,#t1d,2
Monday,4,hands,1
Monday,4,smoking,8
Monday,4,eas,2
Monday,4,day,1
Monday,4,like,2
Monday,4,#funbash,1
Monday,4,expressway,1
Monday,4,#gayboys,1
Monday,4,#bottomsup,1
Monday,4,hunt,1
Monday,4,will,1
Monday,4,stuff,1
Monday,4,#instagay,1
Monday,4,rutland,2
Monday,4,#diabetic,2
Monday,4,trump,1
Monday,4,classic,1
Monday,4,deegan,1
Monday,4,fuck,1
Monday,4,dead,2
Monday,4,zuma,1
Monday,4,street,13
Monday,4,daily,1
Monday,4,families,2
Monday,4,myrtle,5
Monday,4,pry,1
Monday,4,alternative,1
Monday,4,defence,1
Monday,4,#diabetes,2
Monday,4,lil,1
Monday,4,#gay,1
Monday,4,boroughs,1
Monday,4,#vsbu,1
Monday,4,new,7
Monday,4,maverick,1
Monday,4,across,1
Monday,4,bc,1
Monday,4,ipod,1
Monday,4,98th,6
Monday,4,update,11
Monday,4,@cs15,1
Monday,4,incident,8
Monday,4,york,2
Monday,4,imagine,1
Monday,4,138th,1
Monday,4,@marcalmond,1
Monday,4,great,1
Monday,4,annual,1
Monday,4,#instafab,1
Monday,4,came,1
Monday,4,garuttis,1
Monday,4,nyc,1
Monday,4,egg,1
Monday,4,road,2
Monday,4,first,1
Monday,5,gt,2
Monday,5,photo,1
Monday,5,avenue,43
Monday,5,24,1
Monday,5,@danmannarino,1
Monday,5,terminal,1
Monday,5,lt,1
Monday,5,2017,1
Monday,5,killer,1
Monday,5,fat,1
Monday,5,joint,1
Monday,5,every,1
Monday,5,ppl,1
Monday,5,day,2
Monday,5,59,1
Monday,5,morning,1
Monday,5,lillias,1
Monday,5,#signs,1
Monday,5,nigga,1
Monday,5,sensuality,1
Monday,5,people,1
Monday,5,back,1
Monday,5,authority,1
Monday,5,sign,1
Monday,5,street,98
Monday,5,port,1
Monday,5,living,1
Monday,5,giving,1
Monday,5,catalogue,1
Monday,5,health,1
Monday,5,new,5
Monday,5,doubt,1
Monday,5,waller,1
Monday,5,update,27
Monday,5,incident,1
Monday,5,york,2
Monday,5,100,1
Monday,5,app,1
Monday,5,directions,15
Monday,5,station,150
Monday,5,taken,1
Monday,5,white,1
Monday,5,pm,1
Monday,5,@craigtreadwaytv,1
Monday,5,door,2
Monday,5,bus,1
Monday,5,construction,89
Monday,5,dead,1
Monday,5,jumpin,1
Monday,5,slinks,1
Monday,5,#139bus,1
Monday,5,wish,1
Monday,5,bothdir,22
Monday,5,russia,1
Monday,5,owen,1
Monday,5,raw,1
Monday,5,want,1
Monday,5,make,2
Monday,5,may,1
Monday,5,advice,1
Monday,5,moment,1
Monday,5,cleared,24
Monday,5,2006,1
Monday,5,joining,1
Monday,6,m4w,1
Monday,6,like,1
Monday,6,nigga,1
Monday,6,new,4
Monday,6,incident,6
Monday,6,one,1
Monday,6,#motivationalmonday,1
Monday,6,wasted,1
Monday,6,look,1
Monday,6,work,1
Monday,6,will,1
Monday,6,intentions,1
Monday,6,time,2
Monday,6,#nycmissed,2
Monday,7,katy,1
Monday,7,gt,1
Monday,7,just,1
Monday,7,diplomacy,1
Monday,7,manager,1
Monday,7,avenue,3
Monday,7,fit,1
Monday,7,freelance,1
Monday,7,late,1
Monday,7,east,1
Monday,7,might,1
Monday,7,good,1
Monday,7,meanwhile,1
Monday,7,read,2
Monday,7,assistant,1
Monday,7,#preston,1
Monday,7,mgr,1
Monday,7,orthopedic,1
Monday,7,know,1
Monday,7,now,1
Monday,7,cool,1
Monday,7,enemy,1
Monday,7,bar,1
Monday,7,surgical,1
Monday,7,morning,1
Monday,7,108th,5
Monday,7,#q58bus,1
Monday,7,#q88bus,1
Monday,7,ops,1
Monday,7,see,2
Monday,7,street,7
Monday,7,college,3
Monday,7,#newyork,1
Monday,7,click,5
Monday,7,constitution,1
Monday,7,#kellyservices,1
Monday,7,new,5
Monday,7,#kellyjobs,1
Monday,7,ct,1
Monday,7,opening,1
Monday,7,incident,30
Monday,7,directions,3
Monday,7,100,1
Monday,7,wanted,1
Monday,7,wait,1
Monday,7,great,1
Monday,7,#sales,1
Monday,7,healthy,1
Monday,7,island,13
Monday,7,lacked,1
Monday,7,#media,1
Monday,7,tweet,1
Monday,7,#jobs,2
Monday,7,point,1
Monday,7,apply,5
Monday,7,@chrisjzullo,1
Monday,7,district,1
Monday,7,long,13
Monday,7,editor,1
Monday,7,expressway,11
Monday,7,#education,1
Monday,7,door,1
Monday,7,missile,1
Monday,7,atlantic,1
Monday,7,technician,1
Monday,7,video,1
Monday,7,delete,1
Monday,7,crazy,1
Monday,7,embarrassing,1
Monday,7,deaths,1
Monday,7,sales,1
Monday,7,education,1
Monday,7,#rochester,1
Monday,7,sympathizers,1
Monday,7,terrorist,1
Monday,7,italy,1
Monday,7,credibility,1
Monday,7,get,1
Monday,7,gmafb,1
Monday,7,branch,1
Monday,7,party,1
Monday,7,#hiring,17
Monday,7,#careerarc,3
Monday,7,#supplychain,1
Monday,7,update,3
Monday,7,stay,1
Monday,7,#job,18
Monday,7,#jericho,1
Monday,7,#clerical,1
Monday,7,retaliate,1
Monday,7,latest,2
Monday,8,battery,1
Monday,8,ppl,1
Monday,8,apply,1
Monday,8,city,1
Monday,8,tweet,1
Monday,8,tele,1
Monday,8,2017,1
Monday,8,good,2
Monday,8,get,1
Monday,8,registered,1
Monday,8,park,4
Monday,8,downtown,2
Monday,8,new,12
Monday,8,nurse,1
Monday,8,world,1
Monday,8,day,3
Monday,8,10,1
Monday,8,work,2
Monday,8,morning,3
Monday,8,beautiful,1
Monday,8,surg,1
Monday,8,ed,1
Monday,8,urgent,1
Monday,8,need,1
Monday,8,click,1
Monday,8,exit,1
Monday,8,rn,1
Monday,8,#hiring,1
Monday,8,icu,1
Monday,8,med,1
Monday,8,incident,2
Monday,8,#job,1
Monday,8,ccu,1
Monday,8,brooklyn,1
Monday,9,capitol,1
Monday,9,just,2
Monday,9,money,1
Monday,9,hm,1
Monday,9,224,1
Monday,9,office,1
Monday,9,3121,1
Monday,9,anyone,1
Monday,9,going,1
Monday,9,call,1
Monday,9,today,1
Monday,9,good,1
Monday,9,risk,1
Monday,9,big,1
Monday,9,psa,1
Monday,9,great,1
Monday,9,know,2
Monday,9,switchboard,1
Monday,9,now,2
Monday,9,raising,1
Monday,9,work,3
Monday,9,#ny,1
Monday,9,succinctly,1
Monday,9,dirty,1
Monday,9,@devinnunes,1
Monday,9,ruins,1
Monday,9,jayse,1
Monday,9,vc,1
Monday,9,recuse,1
Monday,9,#onduty,1
Monday,9,say,1
Monday,9,really,1
Monday,9,said,1
Monday,9,mood,1
Monday,9,tit,1
Monday,9,six,1
Monday,9,take,1
Monday,9,@adamschiffca,1
Monday,9,probably,1
Monday,9,#hiring,1
Monday,9,202,1
Monday,9,punch,1
Monday,9,trending,1
Monday,9,adventure,1
Monday,9,ask,1
Monday,9,demand,1
Monday,9,short,1
Monday,9,getting,1
Monday,9,@jaysedavid,1
Monday,9,anspach,1
Monday,9,flags,1
Monday,9,usually,1
Monday,10,just,1
Monday,10,queen,1
Monday,10,#retail,1
Monday,10,hanging,1
Monday,10,@jasperavi,1
Monday,10,still,1
Monday,10,#traffic,1
Monday,10,@julialriccobono,1
Monday,10,tweet,1
Monday,10,brook,1
Monday,10,going,1
Monday,10,black,1
Monday,10,@michellebranch,1
Monday,10,bio,1
Monday,10,sunny,1
Monday,10,records,1
Monday,10,day,1
Monday,10,mariah,1
Monday,10,@united,1
Monday,10,lomechenko,1
Monday,10,girl,1
Monday,10,garcia,1
Monday,10,@julcuba,1
Monday,10,rite,1
Monday,10,back,1
Monday,10,street,7
Monday,10,@danrafaelespn,1
Monday,10,495,1
Monday,10,#newyork,1
Monday,10,click,1
Monday,10,best,1
Monday,10,@kindhearted2015,1
Monday,10,@rosskrose2013,1
Monday,10,rd,1
Monday,10,memes,1
Monday,10,krasny,1
Monday,10,wb,1
Monday,10,guess,1
Monday,10,marina,1
Monday,10,accident,1
Monday,10,@slimmyslim94,1
Monday,10,drug,1
Monday,10,stride,1
Monday,10,#washingtonsquarepark,1
Monday,10,think,1
Monday,10,#jobs,1
Monday,10,@smileysaleh,1
Monday,10,pol,1
Monday,10,lol,1
Monday,10,market,1
Monday,10,prank,1
Monday,10,story,1
Monday,10,management,1
Monday,10,@omgadamsaleh,1
Monday,10,service,1
Monday,10,mikey,1
Monday,10,gif,1
Monday,10,@magab10,1
Monday,10,taken,1
Monday,10,scheme,1
Monday,10,part,1
Monday,10,july,1
Monday,10,@rachelcivale,1
Monday,10,loved,1
