day,time,count
Monday,1,1243
Monday,2,647
Monday,3,780
Monday,4,512
Monday,5,675
Monday,6,941
Monday,7,1744
Monday,8,2495
Monday,9,3076
Monday,10,3616
Monday,11,3762
Monday,12,3844
Monday,13,3825
Monday,14,3953
Monday,15,4267
Monday,16,3872
Monday,17,3869
Monday,18,3293
Monday,19,3658
Monday,20,4371
Monday,21,4253
Monday,22,4186
Monday,23,3342
Monday,0,1867
Tuesday,1,1993
Tuesday,2,1501
Tuesday,3,1103
Tuesday,4,927
Tuesday,5,764
Tuesday,6,1172
Tuesday,7,1729
Tuesday,8,2895
Tuesday,9,5050
Tuesday,10,7163
Tuesday,11,7349
Tuesday,12,7174
Tuesday,13,7670
Tuesday,14,8168
Tuesday,15,7853
Tuesday,16,7455
Tuesday,17,6944
Tuesday,18,7480
Tuesday,19,7498
Tuesday,20,8242
Tuesday,21,8803
Tuesday,22,5734
Tuesday,23,6320
Tuesday,0,4177
Wednesday,1,2630
Wednesday,2,1795
Wednesday,3,1320
Wednesday,4,1020
Wednesday,5,1629
Wednesday,6,2271
Wednesday,7,3784
Wednesday,8,5779
Wednesday,9,6894
Wednesday,10,7249
Wednesday,11,7880
Wednesday,12,10568
Wednesday,13,10619
Wednesday,14,9542
Wednesday,15,3311
Wednesday,16,3478
Wednesday,17,3873
Wednesday,18,3510
Wednesday,19,4387
Wednesday,20,4545
Wednesday,21,8731
Wednesday,22,7580
Wednesday,23,6314
Wednesday,0,4417
Thursday,1,2782
Thursday,2,1680
Thursday,3,1261
Thursday,4,1148
Thursday,5,1435
Thursday,6,2246
Thursday,7,3746
Thursday,8,5583
Thursday,9,6920
Thursday,10,7676
Thursday,11,7952
Thursday,12,8096
Thursday,13,8016
Thursday,14,8135
Thursday,15,7827
Thursday,16,7687
Thursday,17,7845
Thursday,18,7240
Thursday,19,7779
Thursday,20,8041
Thursday,21,9316
Thursday,22,8646
Thursday,23,7076
Thursday,0,4564
Friday,1,3240
Friday,2,1927
Friday,3,1575
Friday,4,1251
Friday,5,1576
Friday,6,2450
Friday,7,3531
Friday,8,5711
Friday,9,6663
Friday,10,7553
Friday,11,7930
Friday,12,8163
Friday,13,8284
Friday,14,7800
Friday,15,7737
Friday,16,6849
Friday,17,6624
Friday,18,7005
Friday,19,7785
Friday,20,7018
Friday,21,7072
Friday,22,6547
Friday,23,5667
Friday,0,5554
Saturday,1,2042
Saturday,2,1041
Saturday,3,796
Saturday,4,552
Saturday,5,467
Saturday,6,778
Saturday,7,1283
Saturday,8,2004
Saturday,9,2554
Saturday,10,3071
Saturday,11,3450
Saturday,12,3626
Saturday,13,3693
Saturday,14,3519
Saturday,15,3340
Saturday,16,3340
Saturday,17,3410
Saturday,18,3060
Saturday,19,3300
Saturday,20,3378
Saturday,21,3195
Saturday,22,2940
Saturday,23,2905
Saturday,0,4405
Sunday,1,1417
Sunday,2,1158
Sunday,3,825
Sunday,4,598
Sunday,5,550
Sunday,6,599
Sunday,7,993
Sunday,8,1708
Sunday,9,2278
Sunday,10,3204
Sunday,11,3289
Sunday,12,3358
Sunday,13,3400
Sunday,14,3534
Sunday,15,3358
Sunday,16,3529
Sunday,17,3808
Sunday,18,3551
Sunday,19,3985
Sunday,20,3827
Sunday,21,3798
Sunday,22,3439
Sunday,23,2913
Sunday,0,2436
